Date,Description,Amount
2024-04-27,Point Of Sale Withdrawal MASABI_RTD 1600 Blake St      303-299-6000   COUS,2.7
2024-04-27,Point Of Sale Withdrawal SQ *CURTIS PARK 2532 Champa St     Denver         COUS,19.24
2024-04-27,Point Of Sale Withdrawal SQ *CURTIS PARK 2532 Champa St     Denver         COUS,2.75
2024-04-26,Point Of Sale Withdrawal TST* FAMOUS ORI 713 E 26TH AVE     DENVER         COUS,10.8
2024-04-26,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,60.0
2024-04-26,Point Of Sale Withdrawal IMPROPER CITY 3201 WALNUT STREET DENVER         COUS,7.62
2024-04-26,Point Of Sale Withdrawal BARCELONA RINO 2900 LARIMER ST    DENVER         COUS,67.71
2024-04-26,Point Of Sale Withdrawal LS BIKESOURCE R 2628 Walnut St     DENVER         COUS,51.09
2024-04-26,Point Of Sale Withdrawal TST* LUCKY BIRD 5505 west 20th AVE Edgewater      COUS,10.88
2024-04-25,Point Of Sale Withdrawal LIME*RIDE 85 2nd Street      SAN FRANCISCO  CAUS,1.9
2024-04-25,Point Of Sale Withdrawal MOVEMENT RINO 750 W HAMPDEN AVESuENGLEWOOD      COUS,2.99
2024-04-25,"Point Of Sale Withdrawal ParkWhiz, Inc. 208 S Jefferson St Chicago        ILUS",6.57
2024-04-25,Point Of Sale Withdrawal LIME*RIDE 85 2nd Street      SAN FRANCISCO  CAUS,3.48
2024-04-25,Point Of Sale Withdrawal Spotify USA 45 W. 18th Street  New York       NYUS,11.9
2024-04-23,Point Of Sale Withdrawal REGUS MANAGEMEN 15305 Dallas ParkwaADDISON        TXUS,623.02
2024-04-22,Point Of Sale Withdrawal ELDORADO CANYON 9 KNEALE ROAD      ELDORADO SPRI  COUS,10.0
2024-04-22,Point Of Sale Withdrawal GRIZZLY ROSE 5450 N VALLEY HWY  DENVER         COUS,33.37
2024-04-19,Point Of Sale Withdrawal APPLE CASH SENT 1 INFINITE LOOP    877-233-8552   CAUS,5.0
2024-04-19,Point Of Sale Withdrawal USPS KIOSK 0723 951 20TH ST        DENVER         COUS,7.48
2024-04-19,"Point Of Sale Withdrawal ParkWhiz, Inc. 208 S Jefferson St Chicago        ILUS",6.57
2024-04-18,Point Of Sale Withdrawal USPS PO 072334 951 20TH ST        DENVER         COUS,2.19
2024-04-18,Point Of Sale Withdrawal WM SUPERCENTER Wal-Mart Super CentWESTMINSTER    COUS,10.79
2024-04-18,Point Of Sale Withdrawal MASABI_RTD 1600 Blake St      303-299-6000   COUS,2.7
2024-04-17,Point Of Sale Withdrawal MASABI_RTD 1600 Blake St      303-299-6000   COUS,2.7
2024-04-17,Point Of Sale Withdrawal WM SUPERCENTER Wal-Mart Super CentWESTMINSTER    COUS,19.47
2024-04-16,"Point Of Sale Withdrawal MELLOW MUSHROOM 1201 16TH ST, STE 1DENVER         COUS",27.25
2024-04-16,Electronic Check US TREASURY IRS (PAYMENT) Accounts Receivable Entry SERIAL #: 0108,1175.83
2024-04-16,Point Of Sale Withdrawal SQ *HUCKLEBERRY 1800 Wazee St      Denver         COUS,5.95
2024-04-16,Point Of Sale Withdrawal PLAYYOURCOURT T 1024 Caton Dr      VIRGINIA BEAC  VAUS,59.99
2024-04-16,Point Of Sale Withdrawal MASABI_RTD 1600 Blake St      303-299-6000   COUS,2.7
2024-04-16,Point Of Sale Withdrawal SHELL SERVICE S SHELL              ARVADA         COUS,61.3
2024-04-15,External Withdrawal VENMO  - PAYMENT,655.0
2024-04-15,Point Of Sale Withdrawal TST* ESTES PARK 124 W ELKHORN AVE  ESTES PARK     COUS,7.72
2024-04-15,Point Of Sale Withdrawal MCGUCKIN HARDWA 2525 ARAPAHOE AVE UBOULDER        COUS,25.79
2024-04-15,Point Of Sale Withdrawal  KING SOOP 8055 SHERARVADA         COUS,27.65
2024-04-12,Point Of Sale Withdrawal WM SUPERCENTER Wal-Mart Super CentWESTMINSTER    COUS,43.56
2024-04-12,Point Of Sale Withdrawal  LOAF N JU 300 N MAILAMAR          COUS,44.69
2024-04-11,Point Of Sale Withdrawal UNITED EXPRESS AMARILLO           AMARILLO       TXUS,60.41
2024-04-11,Point Of Sale Withdrawal  ALON DK # 513 E. COBROWNWOOD      TXUS,41.05
2024-04-11,Point Of Sale Withdrawal AUSTIN AUTOMOTI 12990 RESEARCH BLVDAUSTIN         TXUS,165.01
2024-04-10,Point Of Sale Withdrawal A MEDIUM CORPOR 799 MARKET STREET  4155085008     CAUS,5.0
2024-04-08,Point Of Sale Withdrawal H-E-B #269 AUSTIN             AUSTIN         TXUS,19.46
2024-04-08,Point Of Sale Withdrawal BOULDIN ACRES 2 1806 W BRAKER LN   AUSTIN         TXUS,61.36
2024-04-06,Point Of Sale Withdrawal COSTCO WHSE #06 AUSTIN             AUSTIN         TXUS,7.01
2024-04-06,Point Of Sale Withdrawal GREAT HILLS COU 5914 LOST HORIZON DAUSTIN         TXUS,14.46
2024-04-03,Point Of Sale Withdrawal SOLSTICE PO BOX 19199       FORT LAUDERDA  FLUS,8.21
2024-04-02,Point Of Sale Withdrawal RC HEALTH SERVI 4201 BROADWAY ST   PEARLAND       TXUS,50.0
2024-03-27,"Point Of Sale Withdrawal GITHUB, INC. 88 Colin P Kelly JrSAN FRANCISCO  CAUS",10.0
2024-03-25,Withdrawal Internet Transfer to *0100 SAV,1800.0
2024-03-25,Point Of Sale Withdrawal CHICK-FIL-A #09 10901 RESEARCH BLVDAUSTIN         TXUS,5.14
2024-03-25,Point Of Sale Withdrawal Spotify USA 45 W. 18th Street  New York       NYUS,11.9
2024-03-25,Point Of Sale Withdrawal CIRCLE K #27413 10713 JOLLYVILLE RDAUSTIN         TXUS,64.38
2024-03-23,Point Of Sale Withdrawal AUTOZONE  1323 13450 HWY183 S 241 AUSTIN         TXUS,166.66
2024-03-19,"Point Of Sale Withdrawal NOTION LABS, IN 548 Market St #7456SAN FRANCISCO  CAUS",10.66
2024-03-18,Point Of Sale Withdrawal PY *HOPDODDY  D 1747 WYNKOOP ST    DENVER         COUS,39.69
2024-03-18,Point Of Sale Withdrawal TST* WYNKOOP BR 1634 18TH ST       DENVER         COUS,92.81
2024-03-18,Point Of Sale Withdrawal TST* ONE SHOT B 2134 CURTIS ST STE DENVER         COUS,13.03
2024-03-18,Point Of Sale Withdrawal TST* TONY TENDE 1937 MARKET ST     DENVER         COUS,39.97
2024-03-18,Point Of Sale Withdrawal MASABI_RTD 1600 Blake St      303-299-6000   COUS,2.75
2024-03-18,Point Of Sale Withdrawal CHICK-FIL-A #02 9331 ARAPAHO ROAD  ENGLEWOOD      COUS,11.89
2024-03-14,Point Of Sale Withdrawal EB DENVER ST PA 535 MISSION STREET 8014137200     CAUS,34.66
2024-03-11,ATM Withdrawal COMMUNITY BANKS 513 MAIN ST        SAN LUIS       COUS,204.0
2024-03-07,Point Of Sale Withdrawal TEALHQ 255 Giralda Avenue CORAL GABLES   FLUS,29.0
2024-03-06,External Withdrawal VENMO  - PAYMENT,55.0
2024-03-05,Point Of Sale Withdrawal CIRCLE K #27413 10713 JOLLYVILLE RDAUSTIN         TXUS,58.62
2024-03-01,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,60.0
2024-03-01,"Point Of Sale Withdrawal GITHUB, INC. 88 Colin P Kelly JrSAN FRANCISCO  CAUS",9.31
2024-02-28,Point Of Sale Withdrawal WAL Wal-Mart Su 4554 WAL-SAMS      AUSTIN         TXUS,3.9
2024-02-27,Point Of Sale Withdrawal OPENAI 548 Market StreetPMSAN FRANCISCO  CAUS,10.64
2024-02-27,Point Of Sale Withdrawal P. TERRYS STAND 12301 N Mopac Expy AUSTIN         TXUS,26.9
2024-02-26,"Point Of Sale Withdrawal INFRANODUS* INF 4, Rue de la MartinPARIS 18       FRFR",9.76
2024-02-24,Point Of Sale Withdrawal SpotifyAB 150 Greenwich St   New York       NYUS,11.9
2024-02-22,External Withdrawal VENMO  - PAYMENT,175.0
2024-02-20,"Point Of Sale Withdrawal NOTION LABS, IN 548 Market St #7456SAN FRANCISCO  CAUS",10.66
2024-02-20,Withdrawal car rental to big bend,250.0
2024-02-20,Withdrawal security deposit,1910.0
2024-02-16,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,60.0
2024-02-14,Point Of Sale Withdrawal TXTAG 888 468 9 2420 RIDGEPOINT DRIAUSTIN         TXUS,4.35
2024-02-12,Point Of Sale Withdrawal H-E-B #269 AUSTIN             AUSTIN         TXUS,15.23
2024-02-12,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,60.0
2024-02-10,Point Of Sale Withdrawal SOLSTICE PO BOX 19199       FORT LAUDERDA  FLUS,8.21
2024-02-09,Point Of Sale Withdrawal TST* POKE HOUSE 11150 Research BoulAustin         TXUS,16.77
2024-02-08,Point Of Sale Withdrawal  TARGET T- 10107 ResAustin         TXUS,10.37
2024-02-08,External Withdrawal VENMO  - PAYMENT,1910.35
2024-02-08,External Withdrawal VENMO  - PAYMENT,1910.35
2024-02-08,External Withdrawal VENMO  - PAYMENT,1910.35
2024-02-03,Point Of Sale Withdrawal MORTON'S DRIVE HALLETTSVILLE      HALLETTSVILLE  TXUS,64.21
2024-01-30,Point Of Sale Withdrawal SOLSTICE PO BOX 19199       FORT LAUDERDA  FLUS,8.21
2024-01-29,Point Of Sale Withdrawal H-E-B #562 ROCKPORT           ROCKPORT       TXUS,87.07
2024-01-24,Point Of Sale Withdrawal SpotifyAB 150 Greenwich St   New York       NYUS,11.9
2024-01-24,Point Of Sale Withdrawal H-E-B #562 ROCKPORT           ROCKPORT       TXUS,80.0
2024-01-22,Point Of Sale Withdrawal TARGET.COM  * 7000 TARGET PARKWAY800-591-3869   MNUS,32.46
2024-01-22,Point Of Sale Withdrawal  TARGET T- 10107 ResAustin         TXUS,4.64
2024-01-19,Point Of Sale Withdrawal ARC SYSTEM 640 SENTRY PARKWAY 800-9525065    PAUS,97.0
2024-01-19,"Point Of Sale Withdrawal NOTION LABS, IN 548 Market St #7456SAN FRANCISCO  CAUS",10.66
2024-01-18,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,60.0
2024-01-16,Point Of Sale Withdrawal 5 TORCHYS SPI 4211 Spicewood SpriAUSTIN         TXUS,8.55
2024-01-12,Point Of Sale Withdrawal COA PARKING MET 124 W 8TH STREET   AUSTIN         TXUS,4.75
2024-01-12,Electronic Check US TREASURY IRS (PAYMENT) Accounts Receivable Entry SERIAL #: 0107,255.0
2024-01-11,Point Of Sale Withdrawal CIRCLE K #27413 10713 JOLLYVILLE RDAUSTIN         TXUS,50.0
2024-01-11,External Withdrawal Mesa Rim Austin  - Mesa Rim A,94.18
2024-01-05,Point Of Sale Withdrawal  REI #32 AUSTIN 9901AUSTIN         TXUS,24.84
2024-01-05,Point Of Sale Withdrawal TST* RAMEN TATS 8557 Research Blvd 512-893-5561   TXUS,15.3
2024-01-05,External Withdrawal PAYPAL 240104PPZ5OF - INST XFER,60.0
2024-01-02,Point Of Sale Withdrawal SE40889 10408 ZAC LENTZ PKWVICTORIA       TXUS,49.01
2023-12-30,ATM Withdrawal PAI ISO 730 S COLORADO ST  LOCKHART       TXUS,203.0
2023-12-28,Point Of Sale Withdrawal COSTCO WHSE #06 AUSTIN             AUSTIN         TXUS,35.02
2023-12-27,Point Of Sale Withdrawal Amazon.com*EV7A 440 Terry Ave N    Amzn.com/bill  WAUS,65.69
2023-12-26,Point Of Sale Withdrawal  REI #45 DALLAS 5929DALLAS         TXUS,34.22
2023-12-26,Point Of Sale Withdrawal SpotifyAB 150 Greenwich St   New York       NYUS,11.9
2023-12-22,Point Of Sale Withdrawal ARC MYCHART 4515 SETON CENTER P512-407-8686   TXUS,7.57
2023-12-21,ATM Withdrawal TRAVIS COUNTY C 2433 RIDGE POINTE DAUSTIN         TXUS,303.25
2023-12-21,Point Of Sale Withdrawal  TARGET T- 10107 ResAustin         TXUS,17.32
2023-12-18,Point Of Sale Withdrawal FAT DRAGON REST 8650 SPICEWOOD SPRIAUSTIN         TXUS,38.1
2023-12-15,Point Of Sale Withdrawal H-E-B #269 AUSTIN             AUSTIN         TXUS,17.28
2023-12-15,Point Of Sale Withdrawal ACADEMY SPORTS 12250 RESEARCH BLVDAUSTIN         TXUS,5.41
2023-12-15,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,65.0
2023-12-15,Point Of Sale Withdrawal H-E-B #269 AUSTIN             AUSTIN         TXUS,23.09
2023-12-14,Point Of Sale Withdrawal TST* SUMMER MOO 2301 W ANDERSON LN AUSTIN         TXUS,4.19
2023-12-13,Point Of Sale Withdrawal TST* LUSTRE PEA 114 Linden St      Austin         TXUS,4.28
2023-12-11,External Withdrawal Mesa Rim Austin  - Mesa Rim A,94.18
2023-12-09,Point Of Sale Withdrawal 7-ELEVEN 36609 AUSTIN             AUSTIN         TXUS,40.09
2023-12-09,Point Of Sale Withdrawal LAMBS TIRE #4 10740 RESEARCH #115AUSTIN         TXUS,18.5
2023-12-04,Point Of Sale Withdrawal LYFT   1 RIDE 1 185 BERRY ST STE 508558659553     CAUS,28.74
2023-12-02,ATM Withdrawal CASINO EL CA-32 517 E 6TH ST.      AUSTIN         TXUS,202.5
2023-11-30,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,60.0
2023-11-24,Point Of Sale Withdrawal SpotifyAB 150 Greenwich St   New York       NYUS,11.9
2023-11-24,Point Of Sale Withdrawal RAISING CANES 415 West Martin LutAUSTIN         TXUS,16.94
2023-11-21,Point Of Sale Withdrawal BARNESNOBLE 10000 Research BlvdAustin         TXUS,29.77
2023-11-21,Point Of Sale Withdrawal H-E-B #269 AUSTIN             AUSTIN         TXUS,18.69
2023-11-21,Point Of Sale Withdrawal AMZN Mktp US*5I 440 Terry Ave N    Amzn.com/bill  WAUS,15.05
2023-11-20,"Point Of Sale Withdrawal TENNIS LEAGUE N 405 WALTHAM ST, SUI857-2888815    MAUS",32.95
2023-11-20,Point Of Sale Withdrawal ADVANCE AUTO PA 7610 SAN FELIPE    AUSTIN         TXUS,85.47
2023-11-18,Point Of Sale Withdrawal AMZN Mktp US*LT 440 Terry Ave N    Amzn.com/bill  WAUS,130.49
2023-11-18,Point Of Sale Withdrawal Amazon.com*QT45 440 Terry Ave N    Amzn.com/bill  WAUS,35.89
2023-11-17,Withdrawal Internet Transfer to *0100 SAV,80.0
2023-11-15,Point Of Sale Withdrawal THE DARK HORSE 2922 BASELINE RD   BOULDER        COUS,30.0
2023-11-15,Point Of Sale Withdrawal AUSTIN FASTPARK 2300 SPIRIT OF TEXADEL VALLE      TXUS,35.1
2023-11-15,Point Of Sale Withdrawal LYFT   1 RIDE 1 185 BERRY ST STE 508558659553     CAUS,72.83
2023-11-14,Point Of Sale Withdrawal SHELL SERVICE S SHELL              AUSTIN         TXUS,52.31
2023-11-13,Point Of Sale Withdrawal LYFT   1 RIDE 1 185 BERRY ST STE 508558659553     CAUS,11.65
2023-11-13,Point Of Sale Withdrawal LIM*RIDE COST 85 2nd Street      SAN FRANCISCO  CAUS,3.38
2023-11-13,Point Of Sale Withdrawal TST* 24 Diner 600 N Lamar Blvd   Austin         TXUS,33.28
2023-11-13,Point Of Sale Withdrawal SEATGEEK EVENT 902 Broadway10th FlNEW YORK       NYUS,74.0
2023-11-10,Point Of Sale Withdrawal NEWS EAST ST25 8008 CEDAR SPRINGS DALLAS         TXUS,4.21
2023-11-10,Withdrawal Internet Transfer to *0100 SAV,200.0
2023-11-10,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,60.0
2023-11-10,Point Of Sale Withdrawal AMZN Mktp US*BU 440 Terry Ave N    Amzn.com/bill  WAUS,54.04
2023-11-08,ATM Withdrawal FULTON BAIT -69 3896 STAHL RD      SAN ANTONIO    TXUS,204.0
2023-11-06,Point Of Sale Withdrawal  H-E-B #562         ROCKPORT       TXUS,39.88
2023-11-06,Point Of Sale Withdrawal TX STATE PKS AD 4200 SMITH SCHOOL RAUSTIN         TXUS,25.0
2023-11-06,Point Of Sale Withdrawal  H-E-B #412         BEEVILLE       TXUS,19.42
2023-11-06,Point Of Sale Withdrawal  H-E-B #412         BEEVILLE       TXUS,23.57
2023-11-06,Point Of Sale Withdrawal  H-E-B GAS #412     BEEVILLE       TXUS,51.21
2023-11-06,Point Of Sale Withdrawal MANAGE INN CAHO 1221 E 6TH ST      AUSTIN         TXUS,37.31
2023-11-06,Point Of Sale Withdrawal LEFT HOUSE LLC 1816 E 6TH ST      AUSTIN         TXUS,31.0
2023-11-04,Point Of Sale Withdrawal TST* CAPE BOTTL 500 SAN MARCOS ST SAUSTIN         TXUS,33.87
2023-11-04,Point Of Sale Withdrawal LAZ PARKING ECO ONE FINANCIAL PLAZAHARTFORD       CTUS,22.69
2023-11-03,Point Of Sale Withdrawal CIRCLE K #27413 10713 JOLLYVILLE RDAUSTIN         TXUS,50.0
2023-11-03,Withdrawal Internet Transfer to *0100 SAV,1800.0
2023-11-03,Point Of Sale Withdrawal FIRE BOWL CAFE 9828 Great Hills Tr940-391-9404   TXUS,15.8
2023-11-02,Point Of Sale Withdrawal  H-E-B #269         AUSTIN         TXUS,1.43
2023-11-01,Point Of Sale Withdrawal MOZARTS COFFEE 3825 LAKE AUSTIN BOAUSTIN         TXUS,16.05
2023-10-30,Point Of Sale Withdrawal MESA RIM AUSTIN 1205 Sheldon CoveBlAUSTIN         TXUS,133.67
2023-10-28,ATM Withdrawal P23557 STUBBS OUTSI-235570AUSTIN         TXUS,104.55
2023-10-28,Point Of Sale Withdrawal DONT TELL COMED 1943 Tamarind AvenuLOS ANGELES    CAUS,53.98
2023-10-28,Point Of Sale Withdrawal LZC* LEGALZOOM. 101 N. Brand Blvd. GLENDALE       CAUS,460.0
2023-10-27,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,60.0
2023-10-25,Point Of Sale Withdrawal SPOTIFY 4 WORLD TRACE CENTE8777781161     NYUS,11.9
2023-10-23,Point Of Sale Withdrawal TST* THE BREWTO 6015 DILLARD CIR STAUSTIN         TXUS,30.78
2023-10-21,Point Of Sale Withdrawal FSP*CRUX CLIMBI 6015 DILLARD CIR STAUSTIN         TXUS,17.32
2023-10-20,Point Of Sale Withdrawal  COSTCO WHSE #06    AUSTIN         TXUS,6.99
2023-10-20,Point Of Sale Withdrawal  COSTCO WHSE #06    AUSTIN         TXUS,35.02
2023-10-20,Point Of Sale Withdrawal PARTY CITY 0364 11150 RESEARCH BLVDAUSTIN         TXUS,34.62
2023-10-20,Point Of Sale Withdrawal PY *HOPDODDY  A 2438 W ANDERSON LN AUSTIN         TXUS,6.41
2023-10-20,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,60.0
2023-10-19,External Withdrawal PAYPAL 231018PPZ1VJ - INST XFER,5.0
2023-10-16,Point Of Sale Withdrawal Cooler Concessi 801 SPRINGDALE RD  AUSTIN         TXUS,8.0
2023-10-16,Point Of Sale Withdrawal PREMIUM PARKING 601 Poydras StSuiteNEW ORLEANS    LAUS,24.06
2023-10-16,Point Of Sale Withdrawal BANGERSAUSTIN.C 79 Rainey Street   AUSTIN         TXUS,14.07
2023-10-16,Point Of Sale Withdrawal WHITE TIGER- 1321 S CONGRESS AVEAUSTIN         TXUS,26.61
2023-10-16,Point Of Sale Withdrawal TERRY BLACK S B 1003 BARTON SPRINGSAUSTIN         TXUS,60.57
2023-10-16,Point Of Sale Withdrawal PREMIUM PARKING 601 Poydras StSuiteNEW ORLEANS    LAUS,12.76
2023-10-16,Point Of Sale Withdrawal BANGERSAUSTIN.C 79 Rainey Street   AUSTIN         TXUS,11.91
2023-10-16,Point Of Sale Withdrawal  CIRCLE K #27413    AUSTIN         TXUS,48.37
2023-10-16,Point Of Sale Withdrawal CIRCLE K #27413 10713 JOLLYVILLE RDAUSTIN         TXUS,3.99
2023-10-16,Point Of Sale Withdrawal  H-E-B #269         AUSTIN         TXUS,15.74
2023-10-16,Point Of Sale Withdrawal LIM*RIDE COST 85 2nd Street      SAN FRANCISCO  CAUS,7.32
2023-10-16,Point Of Sale Withdrawal LAZ PARKING ECO ONE FINANCIAL PLAZAHARTFORD       CTUS,12.49
2023-10-14,Point Of Sale Withdrawal STARBUCKS STORE 9722 Great Hills TrAUSTIN         TXUS,6.82
2023-10-13,Point Of Sale Withdrawal JIMMY JOHNS 984 10900 RESEARCH BLVDAUSTIN         TXUS,10.34
2023-10-12,Point Of Sale Withdrawal O'REILLY 511 8339 RESEARCH BOULEAUSTIN         TXUS,43.81
2023-10-12,Point Of Sale Withdrawal STARBUCKS STORE 9722 Great Hills TrAUSTIN         TXUS,8.12
2023-10-10,External Withdrawal PAYPAL 231009PPZDPV - INST XFER,29.57
2023-10-10,Point Of Sale Withdrawal  COSTCO WHSE #06    AUSTIN         TXUS,3.77
2023-09-29,Point Of Sale Withdrawal TEXASCRAFTBREWE 14111 Blair Ridge DCYPRESS        TXUS,55.57
2023-09-28,Point Of Sale Withdrawal  CIRCLE K #27413    AUSTIN         TXUS,58.26
2023-09-27,Point Of Sale Withdrawal HEADSPACE 2415 MICHIGAN AVE  855-432-3822   CAUS,9.99
2023-09-26,Point Of Sale Withdrawal SQ *THE KEBAB S 10000 Research BoulAustin         TXUS,44.06
2023-09-25,Withdrawal Internet Transfer to *0100 SAV,1200.0
2023-09-25,Point Of Sale Withdrawal SPOTIFY 4 WORLD TRACE CENTE8777781161     NYUS,11.9
2023-09-18,Point Of Sale Withdrawal CRUX CLIMBING C 6015 DILLARD CIRCLEAUSTIN         TXUS,17.32
2023-09-18,Point Of Sale Withdrawal CRUX CLIMBING C 6015 DILLARD CIRCLEAUSTIN         TXUS,27.06
2023-09-16,Point Of Sale Withdrawal TST* Salvation 11501 Rock Rose AveAustin         TXUS,60.33
